YEAR,MONTH,Purchase.Type,FUEL_GROUP,AVERAGE_FUEL_COST
2011,10,Henry Hub,Natural Gas,3.57
2011,9,Henry Hub,Natural Gas,3.9
2011,8,Henry Hub,Natural Gas,4.06
2011,7,Henry Hub,Natural Gas,4.42
2011,6,Henry Hub,Natural Gas,4.54
2011,5,Henry Hub,Natural Gas,4.31
2011,4,Henry Hub,Natural Gas,4.24
2011,3,Henry Hub,Natural Gas,3.97
2011,2,Henry Hub,Natural Gas,4.09
2011,1,Henry Hub,Natural Gas,4.49
2010,12,Henry Hub,Natural Gas,4.25
2010,11,Henry Hub,Natural Gas,3.71
2010,10,Henry Hub,Natural Gas,3.43
2010,9,Henry Hub,Natural Gas,3.89
2010,8,Henry Hub,Natural Gas,4.32
2010,7,Henry Hub,Natural Gas,4.63
2010,6,Henry Hub,Natural Gas,4.8
2010,5,Henry Hub,Natural Gas,4.14
2010,4,Henry Hub,Natural Gas,4.03
2010,3,Henry Hub,Natural Gas,4.29
2010,2,Henry Hub,Natural Gas,5.32
2010,1,Henry Hub,Natural Gas,5.83
2009,12,Henry Hub,Natural Gas,5.35
2009,11,Henry Hub,Natural Gas,3.66
2009,10,Henry Hub,Natural Gas,4.01
2009,9,Henry Hub,Natural Gas,2.99
2009,8,Henry Hub,Natural Gas,3.14
2009,7,Henry Hub,Natural Gas,3.38
2009,6,Henry Hub,Natural Gas,3.8
2009,5,Henry Hub,Natural Gas,3.83
2009,4,Henry Hub,Natural Gas,3.5
2009,3,Henry Hub,Natural Gas,3.96
2009,2,Henry Hub,Natural Gas,4.52
2009,1,Henry Hub,Natural Gas,5.24
2008,12,Henry Hub,Natural Gas,5.82
2008,11,Henry Hub,Natural Gas,6.68
2008,10,Henry Hub,Natural Gas,6.74
2008,9,Henry Hub,Natural Gas,7.67
2008,8,Henry Hub,Natural Gas,8.26
2008,7,Henry Hub,Natural Gas,11.09
2008,6,Henry Hub,Natural Gas,12.69
2008,5,Henry Hub,Natural Gas,11.27
2008,4,Henry Hub,Natural Gas,10.18
2008,3,Henry Hub,Natural Gas,9.41
2008,2,Henry Hub,Natural Gas,8.54
2008,1,Henry Hub,Natural Gas,7.99
2007,12,Henry Hub,Natural Gas,7.11
2007,11,Henry Hub,Natural Gas,7.1
2007,10,Henry Hub,Natural Gas,6.74
2007,9,Henry Hub,Natural Gas,6.08
2007,8,Henry Hub,Natural Gas,6.22
2007,7,Henry Hub,Natural Gas,6.22
2007,6,Henry Hub,Natural Gas,7.35
2007,5,Henry Hub,Natural Gas,7.64
2007,4,Henry Hub,Natural Gas,7.6
2007,3,Henry Hub,Natural Gas,7.11
2007,2,Henry Hub,Natural Gas,8
2007,1,Henry Hub,Natural Gas,6.55
2006,12,Henry Hub,Natural Gas,6.73
2006,11,Henry Hub,Natural Gas,7.41
2006,10,Henry Hub,Natural Gas,5.85
2006,9,Henry Hub,Natural Gas,4.9
2006,8,Henry Hub,Natural Gas,7.14
2006,7,Henry Hub,Natural Gas,6.17
2006,6,Henry Hub,Natural Gas,6.21
2006,5,Henry Hub,Natural Gas,6.25
2006,4,Henry Hub,Natural Gas,7.16
2006,3,Henry Hub,Natural Gas,6.89
2006,2,Henry Hub,Natural Gas,7.54
2006,1,Henry Hub,Natural Gas,8.69
