variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AR,1966,Billion Btu,566110,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,596737,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,635396,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1969,Billion Btu,681052,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1970,Billion Btu,708904,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1971,Billion Btu,700736,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1972,Billion Btu,744634,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1973,Billion Btu,820083,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1974,Billion Btu,798333,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1975,Billion Btu,785659,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1976,Billion Btu,840830,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1977,Billion Btu,886292,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1978,Billion Btu,887040,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1979,Billion Btu,872687,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1980,Billion Btu,859238,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1981,Billion Btu,821800,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1982,Billion Btu,792462,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1983,Billion Btu,796587,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1984,Billion Btu,799005,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1985,Billion Btu,789513,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1986,Billion Btu,759564,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1987,Billion Btu,736170,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1988,Billion Btu,817720,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1989,Billion Btu,882855,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1990,Billion Btu,849198,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1991,Billion Btu,837103,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1992,Billion Btu,865939,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1993,Billion Btu,939962,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1994,Billion Btu,971500,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1995,Billion Btu,1023242,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1996,Billion Btu,1042511,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1997,Billion Btu,1061415,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1998,Billion Btu,1081796,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1999,Billion Btu,1100812,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2000,Billion Btu,1141593,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2001,Billion Btu,1096056,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2002,Billion Btu,1118366,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2003,Billion Btu,1100644,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2004,Billion Btu,1091797,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2005,Billion Btu,1116515,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2006,Billion Btu,1113117,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2007,Billion Btu,1128983,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2008,Billion Btu,1110210,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2009,Billion Btu,1041617,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2010,Billion Btu,1129225,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2011,Billion Btu,1131025,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2012,Billion Btu,1075269,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2013,Billion Btu,1106125,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2014,Billion Btu,1121995,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2015,Billion Btu,1062464,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2016,Billion Btu,1053818,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2017,Billion Btu,1057772,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2018,Billion Btu,1116718,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,2019,Billion Btu,1096181,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AZ,1960,Billion Btu,282993,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1961,Billion Btu,304835,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1962,Billion Btu,324913,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1963,Billion Btu,348302,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1964,Billion Btu,369663,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1965,Billion Btu,375200,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1966,Billion Btu,403460,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1967,Billion Btu,414501,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1968,Billion Btu,456156,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1969,Billion Btu,498192,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1970,Billion Btu,520401,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1971,Billion Btu,554212,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1972,Billion Btu,616452,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1973,Billion Btu,670117,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1974,Billion Btu,676309,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1975,Billion Btu,660004,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1976,Billion Btu,691884,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1977,Billion Btu,738889,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1978,Billion Btu,747985,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1979,Billion Btu,786479,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1980,Billion Btu,754491,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1981,Billion Btu,787920,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1982,Billion Btu,746494,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1983,Billion Btu,758000,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1984,Billion Btu,802626,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1985,Billion Btu,843102,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1986,Billion Btu,852973,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1987,Billion Btu,865824,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1988,Billion Btu,906415,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1989,Billion Btu,943115,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1990,Billion Btu,950195,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1991,Billion Btu,955235,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1992,Billion Btu,985332,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1993,Billion Btu,1000843,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1994,Billion Btu,1056612,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1995,Billion Btu,1095057,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1996,Billion Btu,1163696,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1997,Billion Btu,1187416,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1998,Billion Btu,1240977,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1999,Billion Btu,1285004,SEDS.TETCB.AZ.A
