region,plant_type_full,year,Value
Northeast,geo_N_6,2045,32969
Northeast,geo_N_6,2050,32969
Northeast,geo_N_6,2075,32969
Northeast,geo_N_7,2010,32969
Northeast,geo_N_7,2015,32969
Northeast,geo_N_7,2020,32969
Northeast,geo_N_7,2025,32969
Northeast,geo_N_7,2030,32969
Northeast,geo_N_7,2035,32969
Northeast,geo_N_7,2040,32969
Northeast,geo_N_7,2045,32969
Northeast,geo_N_7,2050,32969
Northeast,geo_N_7,2075,32969
Northeast,geo_N_8,2010,32969
Northeast,geo_N_8,2015,32969
Northeast,geo_N_8,2020,32969
Northeast,geo_N_8,2025,32969
Northeast,geo_N_8,2030,32969
Northeast,geo_N_8,2035,32969
Northeast,geo_N_8,2040,32969
Northeast,geo_N_8,2045,32969
Northeast,geo_N_8,2050,32969
Northeast,geo_N_8,2075,32969
Northeast,geo_N_9,2010,32969
Northeast,geo_N_9,2015,32969
Northeast,geo_N_9,2020,32969
Northeast,geo_N_9,2025,32969
Northeast,geo_N_9,2030,32969
Northeast,geo_N_9,2035,32969
Northeast,geo_N_9,2040,32969
Northeast,geo_N_9,2045,32969
Northeast,geo_N_9,2050,32969
Northeast,geo_N_9,2075,32969
Northeast,geo_N_10,2010,32969
Northeast,geo_N_10,2015,32969
Northeast,geo_N_10,2020,32969
Northeast,geo_N_10,2025,32969
Northeast,geo_N_10,2030,32969
Northeast,geo_N_10,2035,32969
Northeast,geo_N_10,2040,32969
Northeast,geo_N_10,2045,32969
Northeast,geo_N_10,2050,32969
Northeast,geo_N_10,2075,32969
Northeast,slrPV_N,2010,9884
Northeast,slrPV_N,2015,9884
Northeast,slrPV_N,2020,9884
Northeast,slrPV_N,2025,9884
Northeast,slrPV_N,2030,9884
Northeast,slrPV_N,2035,9884
Northeast,slrPV_N,2040,9884
Northeast,slrPV_N,2045,9884
Northeast,slrPV_N,2050,9884
Northeast,slrPV_N,2075,9884
Northeast,slrCSP_N,2010,9884
Northeast,slrCSP_N,2015,9884
Northeast,slrCSP_N,2020,9884
Northeast,slrCSP_N,2025,9884
Northeast,slrCSP_N,2030,9884
Northeast,slrCSP_N,2035,9884
Northeast,slrCSP_N,2040,9884
Northeast,slrCSP_N,2045,9884
Northeast,slrCSP_N,2050,9884
Northeast,slrCSP_N,2075,9884
Northeast,wnd_Nonsh_3,2010,9884
Northeast,wnd_Nonsh_3,2015,9884
Northeast,wnd_Nonsh_3,2020,9884
Northeast,wnd_Nonsh_3,2025,9884
Northeast,wnd_Nonsh_3,2030,9884
Northeast,wnd_Nonsh_3,2035,9884
Northeast,wnd_Nonsh_3,2040,9884
Northeast,wnd_Nonsh_3,2045,9884
Northeast,wnd_Nonsh_3,2050,9884
Northeast,wnd_Nonsh_3,2075,9884
Northeast,wnd_Nonsh_4,2010,9884
Northeast,wnd_Nonsh_4,2015,9884
Northeast,wnd_Nonsh_4,2020,9884
Northeast,wnd_Nonsh_4,2025,9884
Northeast,wnd_Nonsh_4,2030,9884
Northeast,wnd_Nonsh_4,2035,9884
Northeast,wnd_Nonsh_4,2040,9884
Northeast,wnd_Nonsh_4,2045,9884
Northeast,wnd_Nonsh_4,2050,9884
Northeast,wnd_Nonsh_4,2075,9884
Northeast,wnd_Nonsh_5,2010,9884
Northeast,wnd_Nonsh_5,2015,9884
Northeast,wnd_Nonsh_5,2020,9884
Northeast,wnd_Nonsh_5,2025,9884
Northeast,wnd_Nonsh_5,2030,9884
Northeast,wnd_Nonsh_5,2035,9884
Northeast,wnd_Nonsh_5,2040,9884
Northeast,wnd_Nonsh_5,2045,9884
Northeast,wnd_Nonsh_5,2050,9884
Northeast,wnd_Nonsh_5,2075,9884
Northeast,wnd_Nonsh_6,2010,9884
Northeast,wnd_Nonsh_6,2015,9884
Northeast,wnd_Nonsh_6,2020,9884
Northeast,wnd_Nonsh_6,2025,9884
Northeast,wnd_Nonsh_6,2030,9884
Northeast,wnd_Nonsh_6,2035,9884
Northeast,wnd_Nonsh_6,2040,9884
Northeast,wnd_Nonsh_6,2045,9884
Northeast,wnd_Nonsh_6,2050,9884
Northeast,wnd_Nonsh_6,2075,9884
Northeast,wnd_Nonsh_7,2010,9884
Northeast,wnd_Nonsh_7,2015,9884
Northeast,wnd_Nonsh_7,2020,9884
Northeast,wnd_Nonsh_7,2025,9884
Northeast,wnd_Nonsh_7,2030,9884
Northeast,wnd_Nonsh_7,2035,9884
Northeast,wnd_Nonsh_7,2040,9884
Northeast,wnd_Nonsh_7,2045,9884
Northeast,wnd_Nonsh_7,2050,9884
Northeast,wnd_Nonsh_7,2075,9884
Northeast,wnd_Nshal_3,2010,9884
Northeast,wnd_Nshal_3,2015,9884
Northeast,wnd_Nshal_3,2020,9884
Northeast,wnd_Nshal_3,2025,9884
Northeast,wnd_Nshal_3,2030,9884
Northeast,wnd_Nshal_3,2035,9884
Northeast,wnd_Nshal_3,2040,9884
Northeast,wnd_Nshal_3,2045,9884
Northeast,wnd_Nshal_3,2050,9884
Northeast,wnd_Nshal_3,2075,9884
Northeast,wnd_Nshal_4,2010,9884
Northeast,wnd_Nshal_4,2015,9884
Northeast,wnd_Nshal_4,2020,9884
Northeast,wnd_Nshal_4,2025,9884
Northeast,wnd_Nshal_4,2030,9884
Northeast,wnd_Nshal_4,2035,9884
Northeast,wnd_Nshal_4,2040,9884
Northeast,wnd_Nshal_4,2045,9884
Northeast,wnd_Nshal_4,2050,9884
Northeast,wnd_Nshal_4,2075,9884
Northeast,wnd_Nshal_5,2010,9884
Northeast,wnd_Nshal_5,2015,9884
Northeast,wnd_Nshal_5,2020,9884
Northeast,wnd_Nshal_5,2025,9884
Northeast,wnd_Nshal_5,2030,9884
Northeast,wnd_Nshal_5,2035,9884
Northeast,wnd_Nshal_5,2040,9884
Northeast,wnd_Nshal_5,2045,9884
Northeast,wnd_Nshal_5,2050,9884
Northeast,wnd_Nshal_5,2075,9884
Northeast,wnd_Nshal_6,2010,9884
Northeast,wnd_Nshal_6,2015,9884
Northeast,wnd_Nshal_6,2020,9884
Northeast,wnd_Nshal_6,2025,9884
Northeast,wnd_Nshal_6,2030,9884
Northeast,wnd_Nshal_6,2035,9884
Northeast,wnd_Nshal_6,2040,9884
Northeast,wnd_Nshal_6,2045,9884
Northeast,wnd_Nshal_6,2050,9884
Northeast,wnd_Nshal_6,2075,9884
Northeast,wnd_Nshal_7,2010,9884
Northeast,wnd_Nshal_7,2015,9884
Northeast,wnd_Nshal_7,2020,9884
Northeast,wnd_Nshal_7,2025,9884
Northeast,wnd_Nshal_7,2030,9884
Northeast,wnd_Nshal_7,2035,9884
Northeast,wnd_Nshal_7,2040,9884
Northeast,wnd_Nshal_7,2045,9884
Northeast,wnd_Nshal_7,2050,9884
Northeast,wnd_Nshal_7,2075,9884
Northeast,wnd_Ndeep_3,2010,9884
Northeast,wnd_Ndeep_3,2015,9884
Northeast,wnd_Ndeep_3,2020,9884
Northeast,wnd_Ndeep_3,2025,9884
Northeast,wnd_Ndeep_3,2030,9884
Northeast,wnd_Ndeep_3,2035,9884
Northeast,wnd_Ndeep_3,2040,9884
Northeast,wnd_Ndeep_3,2045,9884
Northeast,wnd_Ndeep_3,2050,9884
Northeast,wnd_Ndeep_3,2075,9884
Northeast,wnd_Ndeep_4,2010,9884
Northeast,wnd_Ndeep_4,2015,9884
