variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,139183,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,153822,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1969,Billion Btu,159784,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1970,Billion Btu,166549,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1971,Billion Btu,173379,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1972,Billion Btu,193085,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1973,Billion Btu,209852,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1974,Billion Btu,210118,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1975,Billion Btu,209528,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1976,Billion Btu,216054,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1977,Billion Btu,222603,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1978,Billion Btu,229577,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1979,Billion Btu,200014,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1980,Billion Btu,204275,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1981,Billion Btu,208967,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1982,Billion Btu,208325,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1983,Billion Btu,195411,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1984,Billion Btu,207483,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1985,Billion Btu,203444,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1986,Billion Btu,207724,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1987,Billion Btu,216907,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1988,Billion Btu,226684,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1989,Billion Btu,233710,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1990,Billion Btu,228101,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1991,Billion Btu,229427,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1992,Billion Btu,227667,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1993,Billion Btu,238191,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1994,Billion Btu,255166,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1995,Billion Btu,260424,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1996,Billion Btu,265553,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1997,Billion Btu,273172,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1998,Billion Btu,275696,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1999,Billion Btu,293044,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2000,Billion Btu,293838,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2001,Billion Btu,277440,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2002,Billion Btu,285354,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2003,Billion Btu,285259,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2004,Billion Btu,288208,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2005,Billion Btu,288737,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2006,Billion Btu,288760,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2007,Billion Btu,292703,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2008,Billion Btu,285202,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2009,Billion Btu,285162,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2010,Billion Btu,290178,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2011,Billion Btu,287181,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2012,Billion Btu,277945,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2013,Billion Btu,276368,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2014,Billion Btu,280159,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2015,Billion Btu,276980,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2016,Billion Btu,283495,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2017,Billion Btu,285144,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2018,Billion Btu,286189,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,2019,Billion Btu,288703,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AZ,1960,Billion Btu,116689,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1961,Billion Btu,121239,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1962,Billion Btu,129736,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1963,Billion Btu,136740,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1964,Billion Btu,143720,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1965,Billion Btu,139441,SEDS.TEACB.AZ.A
Total Energy Consumption,Bbtu,AZ,1966,Billion Btu,148689,SEDS.TEACB.AZ.A
