"state","fuel_type","year","Value"
"OR","COL",2020,2.549844837
"OR","GAS",2020,2.479427154
"OR","OIL",2020,13.98124783
"PA","COL",2020,2.45555198541667
"PA","GAS",2020,3.629880861
"PA","OIL",2020,13.48433892
"RI","GAS",2020,4.312621657
"RI","OIL",2020,18.68001733
"SC","COL",2020,2.93296233488235
"SC","GAS",2020,3.558857561
"SC","OIL",2020,16.98745978
"SD","COL",2020,2.001661545
"SD","GAS",2020,2.85288531
"SD","OIL",2020,15.92723779
"TN","COL",2020,2.47973482794286
"TN","GAS",2020,3.19394619
"TN","OIL",2020,16.01943235
"TX","COL",2020,2.471758370875
"TX","GAS",2020,2.340759799
"TX","OIL",2020,16.17494419
"UT","COL",2020,2.25950241390909
"UT","GAS",2020,3.448351285
"UT","OIL",2020,18.80144554
"VA","COL",2020,3.104888389
"VA","GAS",2020,3.784102912
"VA","OIL",2020,13.22187784
"VT","COL",2020,2.775013073
"VT","GAS",2020,4.312621657
"VT","OIL",2020,18.68001733
"WA","COL",2020,2.412049797
"WA","GAS",2020,3.725587943
"WA","OIL",2020,18.5416874
"WI","COL",2020,2.58346428786207
"WI","GAS",2020,3.073705419
"WI","OIL",2020,4.376227491
"WV","COL",2020,2.35828029585714
"WV","GAS",2020,2.457895111
"WV","OIL",2020,17.41190526
"WY","COL",2020,1.95479680303226
"WY","GAS",2020,3.446809628
"WY","OIL",2020,18.04687595
