"state","load_segment","Value"
"GA","sum_night",765
"MD","sum_night",765
"NC","sum_night",765
"SC","sum_night",765
"VA","sum_night",765
"WV","sum_night",765
"DC","sprfl_day",728
"DE","sprfl_day",728
"GA","sprfl_day",728
"MD","sprfl_day",728
"NC","sprfl_day",728
"SC","sprfl_day",728
"VA","sprfl_day",728
"WV","sprfl_day",728
"DC","sprfl_mrnevn",1001
"DE","sprfl_mrnevn",1001
"GA","sprfl_mrnevn",1001
"MD","sprfl_mrnevn",1001
"NC","sprfl_mrnevn",1001
"SC","sprfl_mrnevn",1001
"VA","sprfl_mrnevn",1001
"WV","sprfl_mrnevn",1001
"DC","sprfl_night",455
"DE","sprfl_night",455
"GA","sprfl_night",455
"MD","sprfl_night",455
"NC","sprfl_night",455
"SC","sprfl_night",455
"VA","sprfl_night",455
"WV","sprfl_night",455
"DC","wntr_day",968
"DE","wntr_day",968
"GA","wntr_day",968
"MD","wntr_day",968
"NC","wntr_day",968
"SC","wntr_day",968
"VA","wntr_day",968
"WV","wntr_day",968
"DC","wntr_mrnevn",1331
"DE","wntr_mrnevn",1331
"GA","wntr_mrnevn",1331
"MD","wntr_mrnevn",1331
"NC","wntr_mrnevn",1331
"SC","wntr_mrnevn",1331
"VA","wntr_mrnevn",1331
"WV","wntr_mrnevn",1331
"DC","wntr_night",605
"DE","wntr_night",605
"GA","wntr_night",605
"MD","wntr_night",605
"NC","wntr_night",605
"SC","wntr_night",605
"VA","wntr_night",605
"WV","wntr_night",605
"DC","peak",88
"DE","peak",88
"GA","peak",88
"MD","peak",88
"NC","peak",88
"SC","peak",88
"VA","peak",88
"WV","peak",88
"AL","sum_day",1607
"KY","sum_day",1607
"MS","sum_day",1607
"TN","sum_day",1607
"AL","sum_mrnevn",1212
"KY","sum_mrnevn",1212
"MS","sum_mrnevn",1212
"TN","sum_mrnevn",1212
"AL","sum_night",765
"KY","sum_night",765
"MS","sum_night",765
"TN","sum_night",765
"AL","sprfl_day",728
"KY","sprfl_day",728
"MS","sprfl_day",728
"TN","sprfl_day",728
"AL","sprfl_mrnevn",1001
"KY","sprfl_mrnevn",1001
"MS","sprfl_mrnevn",1001
"TN","sprfl_mrnevn",1001
"AL","sprfl_night",455
"KY","sprfl_night",455
"MS","sprfl_night",455
"TN","sprfl_night",455
"AL","wntr_day",968
"KY","wntr_day",968
"MS","wntr_day",968
"TN","wntr_day",968
"AL","wntr_mrnevn",1331
"KY","wntr_mrnevn",1331
"MS","wntr_mrnevn",1331
"TN","wntr_mrnevn",1331
"AL","wntr_night",605
"KY","wntr_night",605
"MS","wntr_night",605
"TN","wntr_night",605
"AL","peak",88
"KY","peak",88
"MS","peak",88
"TN","peak",88
"TX","sum_day",1599
"TX","sum_mrnevn",1220
"TX","sum_night",765
"TX","sprfl_day",728
"TX","sprfl_mrnevn",1001
"TX","sprfl_night",455
"TX","wntr_day",968
"TX","wntr_mrnevn",1331
"TX","wntr_night",605
"TX","peak",88
"AR","sum_day",1616
"LA","sum_day",1616
"OK","sum_day",1616
"AR","sum_mrnevn",1203
"LA","sum_mrnevn",1203
"OK","sum_mrnevn",1203
"AR","sum_night",765
"LA","sum_night",765
"OK","sum_night",765
"AR","sprfl_day",728
"LA","sprfl_day",728
"OK","sprfl_day",728
"AR","sprfl_mrnevn",1001
"LA","sprfl_mrnevn",1001
"OK","sprfl_mrnevn",1001
"AR","sprfl_night",455
"LA","sprfl_night",455
"OK","sprfl_night",455
"AR","wntr_day",968
"LA","wntr_day",968
"OK","wntr_day",968
"AR","wntr_mrnevn",1331
"LA","wntr_mrnevn",1331
"OK","wntr_mrnevn",1331
"AR","wntr_night",605
"LA","wntr_night",605
"OK","wntr_night",605
"AR","peak",88
"LA","peak",88
"OK","peak",88
"AZ","sum_day",1597
"CO","sum_day",1597
"ID","sum_day",1597
"MT","sum_day",1597
"NM","sum_day",1597
"NV","sum_day",1597
"UT","sum_day",1597
"WY","sum_day",1597
"AZ","sum_mrnevn",1222
"CO","sum_mrnevn",1222
"ID","sum_mrnevn",1222
"MT","sum_mrnevn",1222
"NM","sum_mrnevn",1222
"NV","sum_mrnevn",1222
"UT","sum_mrnevn",1222
"WY","sum_mrnevn",1222
"AZ","sum_night",765
"CO","sum_night",765
"ID","sum_night",765
"MT","sum_night",765
"NM","sum_night",765
"NV","sum_night",765
"UT","sum_night",765
"WY","sum_night",765
"AZ","sprfl_day",728
"CO","sprfl_day",728
"ID","sprfl_day",728
"MT","sprfl_day",728
"NM","sprfl_day",728
"NV","sprfl_day",728
"UT","sprfl_day",728
"WY","sprfl_day",728
"AZ","sprfl_mrnevn",1001
"CO","sprfl_mrnevn",1001
"ID","sprfl_mrnevn",1001
"MT","sprfl_mrnevn",1001
"NM","sprfl_mrnevn",1001
"NV","sprfl_mrnevn",1001
"UT","sprfl_mrnevn",1001
"WY","sprfl_mrnevn",1001
"AZ","sprfl_night",455
"CO","sprfl_night",455
"ID","sprfl_night",455
"MT","sprfl_night",455
"NM","sprfl_night",455
"NV","sprfl_night",455
"UT","sprfl_night",455
"WY","sprfl_night",455
"AZ","wntr_day",968
"CO","wntr_day",968
"ID","wntr_day",968
"MT","wntr_day",968
"NM","wntr_day",968
"NV","wntr_day",968
"UT","wntr_day",968
"WY","wntr_day",968
"AZ","wntr_mrnevn",1331
"CO","wntr_mrnevn",1331
"ID","wntr_mrnevn",1331
"MT","wntr_mrnevn",1331
"NM","wntr_mrnevn",1331
"NV","wntr_mrnevn",1331
"UT","wntr_mrnevn",1331
"WY","wntr_mrnevn",1331
"AZ","wntr_night",605
"CO","wntr_night",605
"ID","wntr_night",605
"MT","wntr_night",605
"NM","wntr_night",605
"NV","wntr_night",605
"UT","wntr_night",605
"WY","wntr_night",605
"AZ","peak",88
"CO","peak",88
"ID","peak",88
"MT","peak",88
"NM","peak",88
"NV","peak",88
"UT","peak",88
"WY","peak",88
"CA","sum_day",1596
"CA","sum_mrnevn",1223
"CA","sum_night",765
"CA","sprfl_day",728
"CA","sprfl_mrnevn",1001
"CA","sprfl_night",455
"CA","wntr_day",968
"CA","wntr_mrnevn",1331
"CA","wntr_night",605
"CA","peak",88
"OR","sum_day",1683
"WA","sum_day",1683
"OR","sum_mrnevn",1224
"WA","sum_mrnevn",1224
"OR","sum_night",765
"WA","sum_night",765
"OR","sprfl_day",728
"WA","sprfl_day",728
"OR","sprfl_mrnevn",999
"WA","sprfl_mrnevn",999
"OR","sprfl_night",455
"WA","sprfl_night",455
"OR","wntr_day",947
"WA","wntr_day",947
"OR","wntr_mrnevn",1266
"WA","wntr_mrnevn",1266
"OR","wntr_night",605
"WA","wntr_night",605
"OR","peak",88
"WA","peak",88
