"state","plant_type","load_segment","Value"
"MA","col_X3","sum_mrnevn",0.691107279
"ME","col_X3","sum_mrnevn",0.691107279
"NH","col_X3","sum_mrnevn",0.691107279
"RI","col_X3","sum_mrnevn",0.691107279
"VT","col_X3","sum_mrnevn",0.691107279
"CT","col_X3","sum_night",0.691107279
"MA","col_X3","sum_night",0.691107279
"ME","col_X3","sum_night",0.691107279
"NH","col_X3","sum_night",0.691107279
"RI","col_X3","sum_night",0.691107279
"VT","col_X3","sum_night",0.691107279
"CT","col_X3","sprfl_day",0.650397698
"MA","col_X3","sprfl_day",0.650397698
"ME","col_X3","sprfl_day",0.650397698
"NH","col_X3","sprfl_day",0.650397698
"RI","col_X3","sprfl_day",0.650397698
"VT","col_X3","sprfl_day",0.650397698
"CT","col_X3","sprfl_mrnevn",0.650397698
"MA","col_X3","sprfl_mrnevn",0.650397698
"ME","col_X3","sprfl_mrnevn",0.650397698
"NH","col_X3","sprfl_mrnevn",0.650397698
"RI","col_X3","sprfl_mrnevn",0.650397698
"VT","col_X3","sprfl_mrnevn",0.650397698
"CT","col_X3","sprfl_night",0.650397698
"MA","col_X3","sprfl_night",0.650397698
"ME","col_X3","sprfl_night",0.650397698
"NH","col_X3","sprfl_night",0.650397698
"RI","col_X3","sprfl_night",0.650397698
"VT","col_X3","sprfl_night",0.650397698
"CT","col_X3","wntr_day",0.650397698
"MA","col_X3","wntr_day",0.650397698
"ME","col_X3","wntr_day",0.650397698
"NH","col_X3","wntr_day",0.650397698
"RI","col_X3","wntr_day",0.650397698
"VT","col_X3","wntr_day",0.650397698
"CT","col_X3","wntr_mrnevn",0.650397698
"MA","col_X3","wntr_mrnevn",0.650397698
"ME","col_X3","wntr_mrnevn",0.650397698
"NH","col_X3","wntr_mrnevn",0.650397698
"RI","col_X3","wntr_mrnevn",0.650397698
"VT","col_X3","wntr_mrnevn",0.650397698
"CT","col_X3","wntr_night",0.650397698
"MA","col_X3","wntr_night",0.650397698
"ME","col_X3","wntr_night",0.650397698
"NH","col_X3","wntr_night",0.650397698
"RI","col_X3","wntr_night",0.650397698
"VT","col_X3","wntr_night",0.650397698
"CT","col_X3","peak",0.691107279
"MA","col_X3","peak",0.691107279
"ME","col_X3","peak",0.691107279
"NH","col_X3","peak",0.691107279
"RI","col_X3","peak",0.691107279
"VT","col_X3","peak",0.691107279
"CT","ngcc_X1","sum_day",0.88
"MA","ngcc_X1","sum_day",0.88
"ME","ngcc_X1","sum_day",0.88
"NH","ngcc_X1","sum_day",0.88
"RI","ngcc_X1","sum_day",0.88
"VT","ngcc_X1","sum_day",0.88
"CT","ngcc_X1","sum_mrnevn",0.88
"MA","ngcc_X1","sum_mrnevn",0.88
"ME","ngcc_X1","sum_mrnevn",0.88
"NH","ngcc_X1","sum_mrnevn",0.88
"RI","ngcc_X1","sum_mrnevn",0.88
"VT","ngcc_X1","sum_mrnevn",0.88
"CT","ngcc_X1","sum_night",0.88
"MA","ngcc_X1","sum_night",0.88
"ME","ngcc_X1","sum_night",0.88
"NH","ngcc_X1","sum_night",0.88
"RI","ngcc_X1","sum_night",0.88
"VT","ngcc_X1","sum_night",0.88
"CT","ngcc_X1","sprfl_day",0.822
"MA","ngcc_X1","sprfl_day",0.822
"ME","ngcc_X1","sprfl_day",0.822
"NH","ngcc_X1","sprfl_day",0.822
"RI","ngcc_X1","sprfl_day",0.822
"VT","ngcc_X1","sprfl_day",0.822
"CT","ngcc_X1","sprfl_mrnevn",0.822
"MA","ngcc_X1","sprfl_mrnevn",0.822
"ME","ngcc_X1","sprfl_mrnevn",0.822
"NH","ngcc_X1","sprfl_mrnevn",0.822
"RI","ngcc_X1","sprfl_mrnevn",0.822
"VT","ngcc_X1","sprfl_mrnevn",0.822
"CT","ngcc_X1","sprfl_night",0.822
"MA","ngcc_X1","sprfl_night",0.822
"ME","ngcc_X1","sprfl_night",0.822
"NH","ngcc_X1","sprfl_night",0.822
"RI","ngcc_X1","sprfl_night",0.822
"VT","ngcc_X1","sprfl_night",0.822
"CT","ngcc_X1","wntr_day",0.822
"MA","ngcc_X1","wntr_day",0.822
"ME","ngcc_X1","wntr_day",0.822
"NH","ngcc_X1","wntr_day",0.822
"RI","ngcc_X1","wntr_day",0.822
"VT","ngcc_X1","wntr_day",0.822
"CT","ngcc_X1","wntr_mrnevn",0.822
"MA","ngcc_X1","wntr_mrnevn",0.822
"ME","ngcc_X1","wntr_mrnevn",0.822
"NH","ngcc_X1","wntr_mrnevn",0.822
"RI","ngcc_X1","wntr_mrnevn",0.822
"VT","ngcc_X1","wntr_mrnevn",0.822
"CT","ngcc_X1","wntr_night",0.822
"MA","ngcc_X1","wntr_night",0.822
"ME","ngcc_X1","wntr_night",0.822
"NH","ngcc_X1","wntr_night",0.822
"RI","ngcc_X1","wntr_night",0.822
"VT","ngcc_X1","wntr_night",0.822
"CT","ngcc_X1","peak",0.88
"MA","ngcc_X1","peak",0.88
"ME","ngcc_X1","peak",0.88
"NH","ngcc_X1","peak",0.88
"RI","ngcc_X1","peak",0.88
"VT","ngcc_X1","peak",0.88
"CT","ngcc_X2","sum_day",0.88
"MA","ngcc_X2","sum_day",0.88
"ME","ngcc_X2","sum_day",0.88
"NH","ngcc_X2","sum_day",0.88
"RI","ngcc_X2","sum_day",0.88
"VT","ngcc_X2","sum_day",0.88
"CT","ngcc_X2","sum_mrnevn",0.88
"MA","ngcc_X2","sum_mrnevn",0.88
"ME","ngcc_X2","sum_mrnevn",0.88
"NH","ngcc_X2","sum_mrnevn",0.88
"RI","ngcc_X2","sum_mrnevn",0.88
"VT","ngcc_X2","sum_mrnevn",0.88
"CT","ngcc_X2","sum_night",0.88
"MA","ngcc_X2","sum_night",0.88
"ME","ngcc_X2","sum_night",0.88
"NH","ngcc_X2","sum_night",0.88
"RI","ngcc_X2","sum_night",0.88
"VT","ngcc_X2","sum_night",0.88
"CT","ngcc_X2","sprfl_day",0.822
"MA","ngcc_X2","sprfl_day",0.822
"ME","ngcc_X2","sprfl_day",0.822
"NH","ngcc_X2","sprfl_day",0.822
"RI","ngcc_X2","sprfl_day",0.822
"VT","ngcc_X2","sprfl_day",0.822
"CT","ngcc_X2","sprfl_mrnevn",0.822
"MA","ngcc_X2","sprfl_mrnevn",0.822
"ME","ngcc_X2","sprfl_mrnevn",0.822
"NH","ngcc_X2","sprfl_mrnevn",0.822
"RI","ngcc_X2","sprfl_mrnevn",0.822
"VT","ngcc_X2","sprfl_mrnevn",0.822
"CT","ngcc_X2","sprfl_night",0.822
"MA","ngcc_X2","sprfl_night",0.822
"ME","ngcc_X2","sprfl_night",0.822
"NH","ngcc_X2","sprfl_night",0.822
"RI","ngcc_X2","sprfl_night",0.822
"VT","ngcc_X2","sprfl_night",0.822
"CT","ngcc_X2","wntr_day",0.822
"MA","ngcc_X2","wntr_day",0.822
"ME","ngcc_X2","wntr_day",0.822
"NH","ngcc_X2","wntr_day",0.822
"RI","ngcc_X2","wntr_day",0.822
"VT","ngcc_X2","wntr_day",0.822
"CT","ngcc_X2","wntr_mrnevn",0.822
"MA","ngcc_X2","wntr_mrnevn",0.822
"ME","ngcc_X2","wntr_mrnevn",0.822
"NH","ngcc_X2","wntr_mrnevn",0.822
"RI","ngcc_X2","wntr_mrnevn",0.822
"VT","ngcc_X2","wntr_mrnevn",0.822
"CT","ngcc_X2","wntr_night",0.822
"MA","ngcc_X2","wntr_night",0.822
"ME","ngcc_X2","wntr_night",0.822
"NH","ngcc_X2","wntr_night",0.822
"RI","ngcc_X2","wntr_night",0.822
