state,load_segment,Value
MN,wntr_night,0.059866341
MO,wntr_night,0.059866341
ND,wntr_night,0.059866341
NE,wntr_night,0.059866341
SD,wntr_night,0.059866341
IA,peak,0.015683425
KS,peak,0.015683425
MN,peak,0.015683425
MO,peak,0.015683425
ND,peak,0.015683425
NE,peak,0.015683425
SD,peak,0.015683425
FL,sum_day,0.226643615
FL,sum_mrnevn,0.156351954
FL,sum_night,0.073720773
FL,sprfl_day,0.085883819
FL,sprfl_mrnevn,0.11148148
FL,sprfl_night,0.036948354
FL,wntr_day,0.105374553
FL,wntr_mrnevn,0.139565661
FL,wntr_night,0.047612237
FL,peak,0.016417556
DC,sum_day,0.207440225
DE,sum_day,0.207440225
GA,sum_day,0.207440225
MD,sum_day,0.207440225
NC,sum_day,0.207440225
SC,sum_day,0.207440225
VA,sum_day,0.207440225
WV,sum_day,0.207440225
DC,sum_mrnevn,0.145342128
DE,sum_mrnevn,0.145342128
GA,sum_mrnevn,0.145342128
MD,sum_mrnevn,0.145342128
NC,sum_mrnevn,0.145342128
SC,sum_mrnevn,0.145342128
VA,sum_mrnevn,0.145342128
WV,sum_mrnevn,0.145342128
DC,sum_night,0.074834076
DE,sum_night,0.074834076
GA,sum_night,0.074834076
MD,sum_night,0.074834076
NC,sum_night,0.074834076
SC,sum_night,0.074834076
VA,sum_night,0.074834076
WV,sum_night,0.074834076
DC,sprfl_day,0.079727698
DE,sprfl_day,0.079727698
GA,sprfl_day,0.079727698
MD,sprfl_day,0.079727698
NC,sprfl_day,0.079727698
SC,sprfl_day,0.079727698
VA,sprfl_day,0.079727698
WV,sprfl_day,0.079727698
DC,sprfl_mrnevn,0.10791055
DE,sprfl_mrnevn,0.10791055
GA,sprfl_mrnevn,0.10791055
MD,sprfl_mrnevn,0.10791055
NC,sprfl_mrnevn,0.10791055
SC,sprfl_mrnevn,0.10791055
VA,sprfl_mrnevn,0.10791055
WV,sprfl_mrnevn,0.10791055
DC,sprfl_night,0.041386968
DE,sprfl_night,0.041386968
GA,sprfl_night,0.041386968
MD,sprfl_night,0.041386968
NC,sprfl_night,0.041386968
SC,sprfl_night,0.041386968
VA,sprfl_night,0.041386968
WV,sprfl_night,0.041386968
DC,wntr_day,0.111590566
DE,wntr_day,0.111590566
GA,wntr_day,0.111590566
MD,wntr_day,0.111590566
NC,wntr_day,0.111590566
SC,wntr_day,0.111590566
VA,wntr_day,0.111590566
WV,wntr_day,0.111590566
DC,wntr_mrnevn,0.15512455
DE,wntr_mrnevn,0.15512455
GA,wntr_mrnevn,0.15512455
MD,wntr_mrnevn,0.15512455
NC,wntr_mrnevn,0.15512455
SC,wntr_mrnevn,0.15512455
VA,wntr_mrnevn,0.15512455
WV,wntr_mrnevn,0.15512455
DC,wntr_night,0.061808257
DE,wntr_night,0.061808257
GA,wntr_night,0.061808257
MD,wntr_night,0.061808257
NC,wntr_night,0.061808257
SC,wntr_night,0.061808257
VA,wntr_night,0.061808257
WV,wntr_night,0.061808257
DC,peak,0.014834982
DE,peak,0.014834982
GA,peak,0.014834982
MD,peak,0.014834982
NC,peak,0.014834982
SC,peak,0.014834982
VA,peak,0.014834982
WV,peak,0.014834982
AL,sum_day,0.210577538
KY,sum_day,0.210577538
MS,sum_day,0.210577538
TN,sum_day,0.210577538
AL,sum_mrnevn,0.146573065
KY,sum_mrnevn,0.146573065
MS,sum_mrnevn,0.146573065
TN,sum_mrnevn,0.146573065
AL,sum_night,0.075546615
KY,sum_night,0.075546615
MS,sum_night,0.075546615
TN,sum_night,0.075546615
AL,sprfl_day,0.079142708
KY,sprfl_day,0.079142708
MS,sprfl_day,0.079142708
TN,sprfl_day,0.079142708
AL,sprfl_mrnevn,0.107463629
KY,sprfl_mrnevn,0.107463629
MS,sprfl_mrnevn,0.107463629
TN,sprfl_mrnevn,0.107463629
AL,sprfl_night,0.041777887
KY,sprfl_night,0.041777887
MS,sprfl_night,0.041777887
TN,sprfl_night,0.041777887
AL,wntr_day,0.109537699
KY,wntr_day,0.109537699
MS,wntr_day,0.109537699
TN,wntr_day,0.109537699
AL,wntr_mrnevn,0.152558888
KY,wntr_mrnevn,0.152558888
MS,wntr_mrnevn,0.152558888
TN,wntr_mrnevn,0.152558888
AL,wntr_night,0.061544814
KY,wntr_night,0.061544814
MS,wntr_night,0.061544814
TN,wntr_night,0.061544814
AL,peak,0.015277157
KY,peak,0.015277157
MS,peak,0.015277157
TN,peak,0.015277157
TX,sum_day,0.225318807
TX,sum_mrnevn,0.153228966
TX,sum_night,0.075636903
TX,sprfl_day,0.081238943
TX,sprfl_mrnevn,0.10587376
TX,sprfl_night,0.037787042
TX,wntr_day,0.105418627
TX,wntr_mrnevn,0.144012458
TX,wntr_night,0.05481032
TX,peak,0.016674175
AR,sum_day,0.213416332
LA,sum_day,0.213416332
OK,sum_day,0.213416332
AR,sum_mrnevn,0.151165519
LA,sum_mrnevn,0.151165519
OK,sum_mrnevn,0.151165519
AR,sum_night,0.078648392
LA,sum_night,0.078648392
OK,sum_night,0.078648392
AR,sprfl_day,0.077999765
LA,sprfl_day,0.077999765
OK,sprfl_day,0.077999765
AR,sprfl_mrnevn,0.106278424
LA,sprfl_mrnevn,0.106278424
OK,sprfl_mrnevn,0.106278424
AR,sprfl_night,0.040637443
LA,sprfl_night,0.040637443
OK,sprfl_night,0.040637443
AR,wntr_day,0.107588273
LA,wntr_day,0.107588273
OK,wntr_day,0.107588273
AR,wntr_mrnevn,0.148469599
LA,wntr_mrnevn,0.148469599
OK,wntr_mrnevn,0.148469599
AR,wntr_night,0.059619017
LA,wntr_night,0.059619017
OK,wntr_night,0.059619017
AR,peak,0.016177236
LA,peak,0.016177236
OK,peak,0.016177236
AZ,sum_day,0.221933898
CO,sum_day,0.221933898
ID,sum_day,0.221933898
MT,sum_day,0.221933898
NM,sum_day,0.221933898
NV,sum_day,0.221933898
UT,sum_day,0.221933898
WY,sum_day,0.221933898
AZ,sum_mrnevn,0.150180641
CO,sum_mrnevn,0.150180641
ID,sum_mrnevn,0.150180641
MT,sum_mrnevn,0.150180641
NM,sum_mrnevn,0.150180641
NV,sum_mrnevn,0.150180641
UT,sum_mrnevn,0.150180641
WY,sum_mrnevn,0.150180641
AZ,sum_night,0.076994909
CO,sum_night,0.076994909
ID,sum_night,0.076994909
MT,sum_night,0.076994909
NM,sum_night,0.076994909
NV,sum_night,0.076994909
UT,sum_night,0.076994909
WY,sum_night,0.076994909
AZ,sprfl_day,0.080115687
CO,sprfl_day,0.080115687
ID,sprfl_day,0.080115687
MT,sprfl_day,0.080115687
NM,sprfl_day,0.080115687
NV,sprfl_day,0.080115687
UT,sprfl_day,0.080115687
WY,sprfl_day,0.080115687
AZ,sprfl_mrnevn,0.105569241
CO,sprfl_mrnevn,0.105569241
ID,sprfl_mrnevn,0.105569241
MT,sprfl_mrnevn,0.105569241
NM,sprfl_mrnevn,0.105569241
NV,sprfl_mrnevn,0.105569241
UT,sprfl_mrnevn,0.105569241
WY,sprfl_mrnevn,0.105569241
AZ,sprfl_night,0.040133829
CO,sprfl_night,0.040133829
ID,sprfl_night,0.040133829
MT,sprfl_night,0.040133829
NM,sprfl_night,0.040133829
NV,sprfl_night,0.040133829
UT,sprfl_night,0.040133829
WY,sprfl_night,0.040133829
AZ,wntr_day,0.106361202
CO,wntr_day,0.106361202
ID,wntr_day,0.106361202
MT,wntr_day,0.106361202
NM,wntr_day,0.106361202
NV,wntr_day,0.106361202
UT,wntr_day,0.106361202
WY,wntr_day,0.106361202
AZ,wntr_mrnevn,0.14629042
CO,wntr_mrnevn,0.14629042
ID,wntr_mrnevn,0.14629042
MT,wntr_mrnevn,0.14629042
NM,wntr_mrnevn,0.14629042
NV,wntr_mrnevn,0.14629042
UT,wntr_mrnevn,0.14629042
WY,wntr_mrnevn,0.14629042
AZ,wntr_night,0.056913829
CO,wntr_night,0.056913829
ID,wntr_night,0.056913829
MT,wntr_night,0.056913829
NM,wntr_night,0.056913829
NV,wntr_night,0.056913829
UT,wntr_night,0.056913829
WY,wntr_night,0.056913829
AZ,peak,0.015506343
CO,peak,0.015506343
ID,peak,0.015506343
MT,peak,0.015506343
NM,peak,0.015506343
NV,peak,0.015506343
UT,peak,0.015506343
WY,peak,0.015506343
CA,sum_day,0.217992859
CA,sum_mrnevn,0.144011505
CA,sum_night,0.076180824
CA,sprfl_day,0.084385872
CA,sprfl_mrnevn,0.107405785
CA,sprfl_night,0.041509114
CA,wntr_day,0.110303829
CA,wntr_mrnevn,0.145493776
CA,wntr_night,0.056664135
CA,peak,0.016052301
OR,sum_day,0.198983263
WA,sum_day,0.198983263
OR,sum_mrnevn,0.134999425
WA,sum_mrnevn,0.134999425
OR,sum_night,0.072901232
WA,sum_night,0.072901232
OR,sprfl_day,0.083827859
WA,sprfl_day,0.083827859
OR,sprfl_mrnevn,0.113518522
WA,sprfl_mrnevn,0.113518522
OR,sprfl_night,0.044317104
WA,sprfl_night,0.044317104
OR,wntr_day,0.118360672
WA,wntr_day,0.118360672
OR,wntr_mrnevn,0.15589815
WA,wntr_mrnevn,0.15589815
OR,wntr_night,0.064036441
WA,wntr_night,0.064036441
OR,peak,0.013157332
WA,peak,0.013157332
