"state","plant_type_full","Value"
"KS","ngcc_X1",12.6672284192825
"KS","ngtb_X1",12.8796185524157
"KS","ngtb_X2",19.5665001947722
"KS","ngtb_X3",17.1695891316728
"KS","nuc_X",131.239238542242
"KS","slr_X",20.6915296
"KS","wnd_X",47.653811016065
"KY","bio_X",265.958558732258
"KY","col_X1",107.132336921132
"KY","col_X2",60.9037711694553
"KY","col_X3",65.176483081681
"KY","hyd_X",92.6869600520368
"KY","ngcc_X1",12.6672284194204
"KY","ngtb_X1",11.0474590674157
"KY","ngtb_X2",11.1214528024546
"KY","ngtb_X3",16.1872603814711
"KY","slr_X",20.6915296
"LA","bio_X",265.426341972668
"LA","col_X1",62.4417412029997
"LA","col_X2",138.612675036987
"LA","col_X3",145.059030347966
"LA","hyd_X",92.6869600520833
"LA","msw_X",0.992664
"LA","ngcc_X1",15.0685865338295
"LA","ngtb_X1",13.6985032211474
"LA","ngtb_X2",11.1296079491643
"LA","ngtb_X3",11.0474590677447
"LA","nuc_X",131.239238538265
"LA","oth_X",42.9796243888889
"LA","slr_X",20.6915296
"MA","bio_X",136.362649270073
"MA","col_X1",62.4004202903128
"MA","col_X2",131.939753579336
"MA","col_X3",180.851121913542
"MA","hyd_X",92.686960055535
"MA","msw_X",17.1733856426058
"MA","ngcc_X1",12.8310449299207
"MA","ngcc_X2",19.2312301042373
"MA","ngcc_X3",19.073610980198
"MA","ngtb_X1",17.8867453286372
"MA","ngtb_X2",20.5925008298701
"MA","ngtb_X3",13.5653868472956
"MA","oth_X",0
"MA","slr_X",20.6915296
"MA","stog_X2",0
"MA","wnd_X",47.6538110169884
"MD","bio_X",135.638077026316
"MD","col_X1",44.3933537496727
"MD","col_X2",67.571869039604
"MD","col_X3",131.630337357669
"MD","hyd_X",92.6869600599128
"MD","msw_X",3.06690269916856
"MD","ngcc_X1",12.7042270590802
"MD","ngcc_X2",12.6672284176327
"MD","ngtb_X1",15.3041374521892
"MD","ngtb_X2",11.9218909569197
"MD","ngtb_X3",18.6617589661643
"MD","nuc_X",131.239238488975
"MD","oth_X",0
"MD","slr_X",20.691529600186
"MD","wnd_X",47.6538110168421
"ME","bio_X",251.618344205701
"ME","col_X1",137.277938091609
"ME","col_X2",0
"ME","col_X3",64.9532600882419
"ME","hyd_X",92.6869600568926
