"state","plant_type","pollutant","Value"
"NY","col_X1bio","CO2",92.4
"NY","col_X2bio","CO2",92.4
"NY","col_X3bio","CO2",92.4
"NY","col_X1ccs","CO2",92.4
"NY","col_X2ccs","CO2",92.4
"NY","col_X3ccs","CO2",92.4
"NY","ngcc_X1","CO2",53.05666667
"NY","ngcc_X2","CO2",53.05666667
"NY","ngcc_X3","CO2",53.05666667
"NY","ngtb_X1","CO2",53.05666667
"NY","ngtb_X2","CO2",53.05666667
"NY","ngtb_X3","CO2",53.05666667
"NY","stog_X1","CO2",76.89
"NY","stog_X2","CO2",76.89
"NY","stog_X3","CO2",76.89
"NY","col_N","CO2",92.4
"NY","col_Nccs","CO2",9.24
"NY","ngcc_N","CO2",53.05666667
"NY","ngcc_Nccs","CO2",5.305666667
"NY","ngtb_N","CO2",53.05666667
"NJ","col_X1","CO2",92.4
"PA","col_X1","CO2",92.4
"NJ","col_X2","CO2",92.4
"PA","col_X2","CO2",92.4
"NJ","col_X3","CO2",92.4
"PA","col_X3","CO2",92.4
"NJ","col_X1bio","CO2",92.4
"PA","col_X1bio","CO2",92.4
"NJ","col_X2bio","CO2",92.4
"PA","col_X2bio","CO2",92.4
"NJ","col_X3bio","CO2",92.4
"PA","col_X3bio","CO2",92.4
"NJ","col_X1ccs","CO2",92.4
"PA","col_X1ccs","CO2",92.4
"NJ","col_X2ccs","CO2",92.4
"PA","col_X2ccs","CO2",92.4
"NJ","col_X3ccs","CO2",92.4
"PA","col_X3ccs","CO2",92.4
"NJ","ngcc_X1","CO2",53.05666667
"PA","ngcc_X1","CO2",53.05666667
"NJ","ngcc_X2","CO2",53.05666667
"PA","ngcc_X2","CO2",53.05666667
"NJ","ngcc_X3","CO2",53.05666667
"PA","ngcc_X3","CO2",53.05666667
"NJ","ngtb_X1","CO2",53.05666667
"PA","ngtb_X1","CO2",53.05666667
"NJ","ngtb_X2","CO2",53.05666667
"PA","ngtb_X2","CO2",53.05666667
"NJ","ngtb_X3","CO2",53.05666667
"PA","ngtb_X3","CO2",53.05666667
"NJ","stog_X1","CO2",76.89
"PA","stog_X1","CO2",76.89
"NJ","stog_X2","CO2",76.89
"PA","stog_X2","CO2",76.89
"NJ","stog_X3","CO2",76.89
"PA","stog_X3","CO2",76.89
"NJ","col_N","CO2",92.4
"PA","col_N","CO2",92.4
"NJ","col_Nccs","CO2",9.24
"PA","col_Nccs","CO2",9.24
"NJ","ngcc_N","CO2",53.05666667
"PA","ngcc_N","CO2",53.05666667
"NJ","ngcc_Nccs","CO2",5.305666667
"PA","ngcc_Nccs","CO2",5.305666667
"NJ","ngtb_N","CO2",53.05666667
"PA","ngtb_N","CO2",53.05666667
"IL","col_X1","CO2",92.4
"IN","col_X1","CO2",92.4
"MI","col_X1","CO2",92.4
"OH","col_X1","CO2",92.4
"WI","col_X1","CO2",92.4
"IL","col_X2","CO2",92.4
"IN","col_X2","CO2",92.4
"MI","col_X2","CO2",92.4
"OH","col_X2","CO2",92.4
"WI","col_X2","CO2",92.4
"IL","col_X3","CO2",92.4
"IN","col_X3","CO2",92.4
