state,biostep,year,Value
IL,3,2020,0.042289
IL,4,2020,0.0003
IL,5,2020,0.101171
IL,6,2020,0.0003
IL,7,2020,0.129242703
IL,8,2020,2.3143275
IL,9,2020,0.11754245
IL,10,2020,11.1669063
IL,11,2020,0.000891842
IL,12,2020,3.895081594
IL,13,2020,0.0003
IL,14,2020,0.070264297
IL,15,2020,0.148806285
IL,16,2020,0.351676684
IL,17,2020,61.49384863
IN,1,2020,10.131602
IN,2,2020,1.7802148
IN,3,2020,0.02045456
IN,4,2020,0.052246741
IN,5,2020,0.218127
IN,6,2020,0.0002
IN,7,2020,0.151700236
IN,8,2020,2.0652528
IN,9,2020,0.774644404
IN,10,2020,12.8558742
IN,11,2020,0.0002
IN,12,2020,6.560081226
IN,13,2020,0.0002
IN,14,2020,0.0002
IN,15,2020,5.073246066
IN,16,2020,0.0002
IN,17,2020,36.20995854
KS,1,2020,4.1277015
KS,2,2020,0.7858539
KS,3,2020,0.05633828
KS,4,2020,1.2872626
KS,5,2020,0.0851369
KS,6,2020,0.0002
KS,7,2020,6.2573653
KS,8,2020,0.707269446
KS,9,2020,4.4670638
KS,10,2020,0.085652697
KS,11,2020,0.648634473
KS,12,2020,0.821292806
KS,13,2020,0.0002
KS,14,2020,23.67910125
KS,15,2020,0.027935763
KS,16,2020,1.463548168
KS,17,2020,0.506603091
KY,1,2020,22.5383704
KY,2,2020,1.9150859
KY,3,2020,0.02272424
KY,4,2020,0.0773043
KY,5,2020,0.1603314
KY,6,2020,0.0004
KY,7,2020,12.40810017
KY,8,2020,28.6920515
KY,9,2020,3.981855051
KY,10,2020,0.0004
KY,11,2020,0.22542775
KY,12,2020,4.307490963
KY,13,2020,0.0004
KY,14,2020,0.0004
KY,15,2020,0.171218575
KY,16,2020,5.413952782
KY,17,2020,4.762556523
LA,1,2020,20.83575
LA,2,2020,9.3596477
LA,3,2020,0.12845056
LA,4,2020,2.6465671
LA,5,2020,0.0004
LA,6,2020,2.0198371
LA,7,2020,22.6350499
LA,8,2020,0.0004
LA,9,2020,7.66537388
LA,10,2020,14.39392456
LA,11,2020,0.0004
LA,12,2020,0.0004
LA,13,2020,0.0004
LA,14,2020,0.000426148
LA,15,2020,0.000402462
LA,16,2020,4.107828331
LA,17,2020,7.266291331
MA,1,2020,8.869783
MA,2,2020,1.8123976
MA,3,2020,0.05167148
MA,4,2020,0.0001
MA,5,2020,0.1785173
MA,6,2020,0.0001
MA,7,2020,0.057429347
MA,8,2020,1.1190881
MA,9,2020,0.03348786
MA,10,2020,5.472922
MA,11,2020,0.0001
MA,12,2020,0.069904623
MA,13,2020,0.0001
MA,14,2020,0.0001
MA,15,2020,0.0001
MA,16,2020,0.0001
MA,17,2020,0.0001
MD,1,2020,8.0966392
MD,2,2020,1.6043573
MD,3,2020,0.04563272
MD,4,2020,0.8833122
MD,5,2020,0.1486275
MD,6,2020,0.002094981
MD,7,2020,1.404576087
MD,8,2020,0.587564541
MD,9,2020,2.1544822
MD,10,2020,0.0003
MD,11,2020,0.114533778
MD,12,2020,0.0003
MD,13,2020,0.0003
MD,14,2020,0.113327205
MD,15,2020,0.280000377
MD,16,2020,3.13498418
MD,17,2020,1.044139141
ME,1,2020,9.089301
ME,2,2020,0.361777
ME,3,2020,0.05020932
ME,4,2020,0.0001
ME,5,2020,30.0054053
ME,6,2020,0.0001
ME,7,2020,0.085202755
ME,8,2020,13.8385481
ME,9,2020,0.013734395
ME,10,2020,55.8414714
ME,11,2020,0.0001
ME,12,2020,0.0001
ME,13,2020,0.0001
ME,14,2020,0.0001
ME,15,2020,0.001394677
ME,16,2020,0.0001
ME,17,2020,0.0001
MI,1,2020,23.6888548
MI,2,2020,2.6916435
MI,3,2020,1.1653503
MI,4,2020,8.3613087
MI,5,2020,0.6189414
MI,6,2020,0.02877868
MI,7,2020,12.2953337
MI,8,2020,0.971708105
MI,9,2020,27.4242681
MI,10,2020,0.037438865
MI,11,2020,0.265719251
MI,12,2020,0.0004
MI,13,2020,0.0004
MI,14,2020,0.0004
MI,15,2020,2.812280222
MI,16,2020,0.000434664
MI,17,2020,25.07722133
MN,1,2020,16.7992409
MN,2,2020,1.4651572
MN,3,2020,0.06570146
MN,4,2020,11.7964273
MN,5,2020,0.0003
MN,6,2020,0.0003
MN,7,2020,4.1740593
MN,8,2020,0.599962162
MN,9,2020,5.7519837
MN,10,2020,0.0003
MN,11,2020,0.004253611
MN,12,2020,1.082793456
MN,13,2020,0.001181877
MN,14,2020,0.006142661
MN,15,2020,8.089542097
MN,16,2020,1.084046225
MN,17,2020,134.7006619
MO,1,2020,15.4735165
MO,2,2020,1.6406949
MO,3,2020,0.04332188
MO,4,2020,0.0262194
MO,5,2020,4.0818855
MO,6,2020,0.0004
MO,7,2020,6.6167641
MO,8,2020,6.5921361
MO,9,2020,11.40432102
MO,10,2020,7.1930467
MO,11,2020,0.0004
MO,12,2020,2.977570934
MO,13,2020,0.0004
MO,14,2020,3.478546025
MO,15,2020,0.0004
MO,16,2020,1.969096831
MO,17,2020,3.440834304
MS,1,2020,24.0850597
MS,2,2020,2.8336438
MS,3,2020,0.05365108
MS,4,2020,3.3083089
MS,5,2020,0.0003
MS,6,2020,0.0003
MS,7,2020,28.5436944
MS,8,2020,0.0003
MS,9,2020,0.0003
MS,10,2020,0.0003
MS,11,2020,0.008700161
MS,12,2020,0.0003
MS,13,2020,0.275351181
MS,14,2020,0.0003
MS,15,2020,0.044571358
MS,16,2020,0.0003
MS,17,2020,8.024745968
MT,1,2020,3.6309221
MT,2,2020,1.0177921
MT,3,2020,0.0583817
MT,4,2020,21.2705193
MT,5,2020,0.0038335
MT,6,2020,22.7917039
MT,7,2020,0.3852041
MT,8,2020,0.050456664
MT,9,2020,0.153642353
MT,10,2020,0.0003
MT,11,2020,1.664285198
MT,12,2020,9.527414824
MT,13,2020,0.394474867
MT,14,2020,0.0003
MT,15,2020,1.190471686
MT,16,2020,3.382655715
MT,17,2020,0.895637701
NC,1,2020,52.2650089
NC,2,2020,6.5734409
NC,3,2020,0.14000084
NC,4,2020,1.8831564
NC,5,2020,6.0952566
NC,6,2020,0.0003
NC,7,2020,3.026335744
NC,8,2020,32.31867695
NC,9,2020,0.103208932
NC,10,2020,0.0003
NC,11,2020,0.0003
NC,12,2020,0.484591974
NC,13,2020,0.0003
NC,14,2020,0.016851701
NC,15,2020,0.0003
NC,16,2020,2.709730345
NC,17,2020,0.0003
ND,1,2020,1.1484512
ND,2,2020,0.0002
ND,3,2020,0.00067032
ND,4,2020,0.4562961
ND,5,2020,0.0002
ND,6,2020,0.5523102
ND,7,2020,0.0002
ND,8,2020,0.1633449
ND,9,2020,0.0002
ND,10,2020,0.0002
ND,11,2020,0.0002
ND,12,2020,0.0002
ND,13,2020,39.37229984
ND,14,2020,0.0002
ND,15,2020,1.802242355
ND,16,2020,0.0002
ND,17,2020,22.49651838
NE,1,2020,1.139528
NE,2,2020,1.5455595
NE,3,2020,0.00923752
NE,4,2020,0.3950764
NE,5,2020,0.0011309
NE,6,2020,0.6233434
NE,7,2020,0.0002
NE,8,2020,1.132582004
NE,9,2020,45.6244806
NE,10,2020,0.0002
NE,11,2020,0.0002
NE,12,2020,0.0002
NE,13,2020,119.5576046
NE,14,2020,0.476902669
NE,15,2020,0.375229059
NE,16,2020,0.215846026
NE,17,2020,10.27428552
NH,1,2020,3.745027
NH,2,2020,0.3597893
NH,3,2020,0.02491356
NH,4,2020,0.0001
NH,5,2020,2.3699026
NH,6,2020,0.0001
NH,7,2020,0.032316146
NH,8,2020,2.5786709
NH,9,2020,0.016555783
NH,10,2020,11.3287161
NH,11,2020,0.0001
NH,12,2020,0.0001
NH,13,2020,0.0001
NH,14,2020,0.0001
NH,15,2020,0.0001
NH,16,2020,0.0001
NH,17,2020,0.0001
NJ,1,2020,9.8806942
NJ,2,2020,2.4169587
NJ,3,2020,0.09285696
NJ,4,2020,0.0001
NJ,5,2020,0.0001
NJ,6,2020,0.0001
NJ,7,2020,0.075902392
NJ,8,2020,1.2410593
NJ,9,2020,0.275414025
NJ,10,2020,5.5182634
NJ,11,2020,0.0001
NJ,12,2020,0.53709952
NJ,13,2020,0.0001
NJ,14,2020,0.0001
NJ,15,2020,0.0001
NJ,16,2020,0.188603419
NJ,17,2020,0.0001
NM,1,2020,1.6454373
NM,2,2020,1.7504552
NM,3,2020,0.46975908
NM,4,2020,0.927949
NM,5,2020,0.0002
NM,6,2020,7.4741277
NM,7,2020,0.166162
NM,8,2020,3.9253382
NM,9,2020,0.0002
NM,10,2020,0.0002
NM,11,2020,0.0002
NM,12,2020,0.0002
NM,13,2020,0.342340438
NM,14,2020,0.0002
NM,15,2020,0.653527183
NM,16,2020,0.445586107
NM,17,2020,0.323674672
NV,1,2020,1.3491309
NV,2,2020,1.7932044
NV,3,2020,0.008477
NV,4,2020,0.0002
NV,5,2020,0.0002
NV,6,2020,3.288649
NV,7,2020,3.7083722
NV,8,2020,0.0002
NV,9,2020,0.0002
NV,10,2020,0.0002
NV,11,2020,0.0002
NV,12,2020,0.0002
NV,13,2020,0.0002
NV,14,2020,0.0002
NV,15,2020,0.0002
NV,16,2020,0.0002
NV,17,2020,0
NY,1,2020,26.7839195
NY,2,2020,5.3390701
NY,3,2020,1.254823
NY,4,2020,2.9903129
NY,5,2020,0.4708646
NY,6,2020,0.013565375
NY,7,2020,2.578547872
NY,8,2020,2.615814033
NY,9,2020,6.576866777
NY,10,2020,8.137716
NY,11,2020,1.279353329
NY,12,2020,0.306004856
NY,13,2020,0.000869212
NY,14,2020,2.227498666
NY,15,2020,0.57090319
NY,16,2020,7.13934083
NY,17,2020,0.276589203
OH,1,2020,16.5415146
OH,2,2020,3.1453383
OH,3,2020,0.11796652
OH,4,2020,0.0002
OH,5,2020,1.1089338
OH,6,2020,0.0002
OH,7,2020,0.225910203
OH,8,2020,4.3154787
OH,9,2020,0.603770883
OH,10,2020,20.8591916
OH,11,2020,0.0002
OH,12,2020,2.884771754
OH,13,2020,0.0002
OH,14,2020,0.0002
OH,15,2020,0.520602213
OH,16,2020,0.0002
OH,17,2020,40.19939337
OK,1,2020,4.347252
OK,2,2020,3.3334938
OK,3,2020,0.8345994
OK,4,2020,7.1041204
OK,5,2020,0.023812
OK,6,2020,0.0002
OK,7,2020,14.2721851
OK,8,2020,0.0002
OK,9,2020,0.142021
OK,10,2020,0.517858848
OK,11,2020,0.0002
OK,12,2020,0.0002
OK,13,2020,0.559543929
OK,14,2020,2.08827048
OK,15,2020,0.0002
OK,16,2020,2.968576988
OK,17,2020,1.034654567
OR,1,2020,11.5816675
OR,2,2020,0.3219502
OR,3,2020,0.86584764
OR,4,2020,38.2047432
OR,5,2020,0.0001
OR,6,2020,0.0001
OR,7,2020,49.7468166
OR,8,2020,0.0001
OR,9,2020,2.1224359
OR,10,2020,2.642019054
OR,11,2020,0.0001
OR,12,2020,0.0001
OR,13,2020,0.0001
OR,14,2020,1.972053334
OR,15,2020,0.0001
OR,16,2020,0.0001
OR,17,2020,0.0001
