region,plant_type,pollutant,Value
ESC,col_X1bio,CO2,92.4
ESC,col_X2bio,CO2,92.4
ESC,col_X3bio,CO2,92.4
ESC,col_X1ccs,CO2,92.4
ESC,col_X2ccs,CO2,92.4
ESC,col_X3ccs,CO2,92.4
ESC,ngcc_X1,CO2,53.05666667
ESC,ngcc_X2,CO2,53.05666667
ESC,ngcc_X3,CO2,53.05666667
ESC,ngtb_X1,CO2,53.05666667
ESC,ngtb_X2,CO2,53.05666667
ESC,ngtb_X3,CO2,53.05666667
ESC,stog_X1,CO2,76.89
ESC,stog_X2,CO2,76.89
ESC,stog_X3,CO2,76.89
ESC,col_N,CO2,92.4
ESC,col_Nccs,CO2,9.24
ESC,ngcc_N,CO2,53.05666667
ESC,ngcc_Nccs,CO2,5.305666667
ESC,ngtb_N,CO2,53.05666667
TX,col_X1,CO2,92.4
TX,col_X2,CO2,92.4
TX,col_X3,CO2,92.4
TX,col_X1bio,CO2,92.4
TX,col_X2bio,CO2,92.4
TX,col_X3bio,CO2,92.4
TX,col_X1ccs,CO2,92.4
TX,col_X2ccs,CO2,92.4
TX,col_X3ccs,CO2,92.4
TX,ngcc_X1,CO2,53.05666667
TX,ngcc_X2,CO2,53.05666667
TX,ngcc_X3,CO2,53.05666667
TX,ngtb_X1,CO2,53.05666667
TX,ngtb_X2,CO2,53.05666667
TX,ngtb_X3,CO2,53.05666667
TX,stog_X1,CO2,76.89
TX,stog_X2,CO2,76.89
TX,stog_X3,CO2,76.89
TX,col_N,CO2,92.4
TX,col_Nccs,CO2,9.24
TX,ngcc_N,CO2,53.05666667
TX,ngcc_Nccs,CO2,5.305666667
TX,ngtb_N,CO2,53.05666667
WSC,col_X1,CO2,92.4
WSC,col_X2,CO2,92.4
WSC,col_X3,CO2,92.4
WSC,col_X1bio,CO2,92.4
WSC,col_X2bio,CO2,92.4
WSC,col_X3bio,CO2,92.4
WSC,col_X1ccs,CO2,92.4
WSC,col_X2ccs,CO2,92.4
WSC,col_X3ccs,CO2,92.4
WSC,ngcc_X1,CO2,53.05666667
WSC,ngcc_X2,CO2,53.05666667
WSC,ngcc_X3,CO2,53.05666667
WSC,ngtb_X1,CO2,53.05666667
WSC,ngtb_X2,CO2,53.05666667
WSC,ngtb_X3,CO2,53.05666667
WSC,stog_X1,CO2,76.89
WSC,stog_X2,CO2,76.89
WSC,stog_X3,CO2,76.89
WSC,col_N,CO2,92.4
WSC,col_Nccs,CO2,9.24
WSC,ngcc_N,CO2,53.05666667
WSC,ngcc_Nccs,CO2,5.305666667
WSC,ngtb_N,CO2,53.05666667
MTN,col_X1,CO2,92.4
MTN,col_X2,CO2,92.4
MTN,col_X3,CO2,92.4
MTN,col_X1bio,CO2,92.4
MTN,col_X2bio,CO2,92.4
MTN,col_X3bio,CO2,92.4
MTN,col_X1ccs,CO2,92.4
MTN,col_X2ccs,CO2,92.4
MTN,col_X3ccs,CO2,92.4
MTN,ngcc_X1,CO2,53.05666667
MTN,ngcc_X2,CO2,53.05666667
MTN,ngcc_X3,CO2,53.05666667
MTN,ngtb_X1,CO2,53.05666667
MTN,ngtb_X2,CO2,53.05666667
MTN,ngtb_X3,CO2,53.05666667
MTN,stog_X1,CO2,76.89
MTN,stog_X2,CO2,76.89
MTN,stog_X3,CO2,76.89
MTN,col_N,CO2,92.4
MTN,col_Nccs,CO2,9.24
MTN,ngcc_N,CO2,53.05666667
MTN,ngcc_Nccs,CO2,5.305666667
MTN,ngtb_N,CO2,53.05666667
CA,col_X1,CO2,92.4
CA,col_X2,CO2,92.4
CA,col_X3,CO2,92.4
CA,col_X1bio,CO2,92.4
CA,col_X2bio,CO2,92.4
CA,col_X3bio,CO2,92.4
CA,col_X1ccs,CO2,92.4
CA,col_X2ccs,CO2,92.4
CA,col_X3ccs,CO2,92.4
CA,ngcc_X1,CO2,53.05666667
CA,ngcc_X2,CO2,53.05666667
CA,ngcc_X3,CO2,53.05666667
CA,ngtb_X1,CO2,53.05666667
CA,ngtb_X2,CO2,53.05666667
CA,ngtb_X3,CO2,53.05666667
CA,stog_X1,CO2,76.89
CA,stog_X2,CO2,76.89
CA,stog_X3,CO2,76.89
CA,col_N,CO2,92.4
CA,col_Nccs,CO2,9.24
CA,ngcc_N,CO2,53.05666667
CA,ngcc_Nccs,CO2,5.305666667
CA,ngtb_N,CO2,53.05666667
PAC,col_X1,CO2,92.4
PAC,col_X2,CO2,92.4
PAC,col_X3,CO2,92.4
PAC,col_X1bio,CO2,92.4
PAC,col_X2bio,CO2,92.4
PAC,col_X3bio,CO2,92.4
PAC,col_X1ccs,CO2,92.4
PAC,col_X2ccs,CO2,92.4
PAC,col_X3ccs,CO2,92.4
PAC,ngcc_X1,CO2,53.05666667
PAC,ngcc_X2,CO2,53.05666667
PAC,ngcc_X3,CO2,53.05666667
PAC,ngtb_X1,CO2,53.05666667
PAC,ngtb_X2,CO2,53.05666667
PAC,ngtb_X3,CO2,53.05666667
PAC,stog_X1,CO2,76.89
PAC,stog_X2,CO2,76.89
PAC,stog_X3,CO2,76.89
PAC,col_N,CO2,92.4
PAC,col_Nccs,CO2,9.24
PAC,ngcc_N,CO2,53.05666667
PAC,ngcc_Nccs,CO2,5.305666667
PAC,ngtb_N,CO2,53.05666667
