state,end_state,Value
CT,WV,0
CT,WY,0
DC,AL,4.132096862
DC,AR,0.900676298
DC,AZ,0
DC,CA,0
DC,CO,0
DC,CT,0
DC,DC,999
DC,DE,999
DC,FL,1.139285955
DC,GA,999
DC,IA,0
DC,ID,0
DC,IL,12.23614342
DC,IN,12.23614342
DC,KS,0
DC,KY,4.132096862
DC,LA,0.900676298
DC,MA,0
DC,MD,999
DC,ME,0
DC,MI,12.23614342
DC,MN,0
DC,MO,0
DC,MS,4.132096862
DC,MT,0
DC,NC,999
DC,ND,0
DC,NE,0
DC,NH,0
DC,NJ,8.866726901
DC,NM,0
DC,NV,0
DC,NY,0.30844229
DC,OH,12.23614342
DC,OK,0.900676298
DC,OR,0
DC,PA,8.866726901
DC,RI,0
DC,SC,999
DC,SD,0
DC,TN,4.132096862
DC,TX,0
DC,UT,0
DC,VA,999
DC,VT,0
DC,WA,0
DC,WI,12.23614342
DC,WV,999
DC,WY,0
DE,AL,4.132096862
DE,AR,0.900676298
DE,AZ,0
DE,CA,0
DE,CO,0
DE,CT,0
DE,DC,999
DE,DE,999
DE,FL,1.139285955
DE,GA,999
DE,IA,0
DE,ID,0
DE,IL,12.23614342
DE,IN,12.23614342
DE,KS,0
DE,KY,4.132096862
DE,LA,0.900676298
DE,MA,0
DE,MD,999
DE,ME,0
DE,MI,12.23614342
DE,MN,0
DE,MO,0
DE,MS,4.132096862
DE,MT,0
DE,NC,999
DE,ND,0
DE,NE,0
DE,NH,0
DE,NJ,8.866726901
DE,NM,0
DE,NV,0
DE,NY,0.30844229
DE,OH,12.23614342
DE,OK,0.900676298
DE,OR,0
DE,PA,8.866726901
DE,RI,0
DE,SC,999
DE,SD,0
DE,TN,4.132096862
DE,TX,0
DE,UT,0
DE,VA,999
DE,VT,0
DE,WA,0
DE,WI,12.23614342
DE,WV,999
DE,WY,0
FL,AL,1.605581146
FL,AR,0
FL,AZ,0
FL,CA,0
FL,CO,0
FL,CT,0
FL,DC,2.079587125
FL,DE,2.079587125
FL,FL,999
FL,GA,2.079587125
FL,IA,0
FL,ID,0
FL,IL,0
FL,IN,0
FL,KS,0
FL,KY,1.605581146
FL,LA,0
FL,MA,0
FL,MD,2.079587125
FL,ME,0
FL,MI,0
FL,MN,0
FL,MO,0
FL,MS,1.605581146
FL,MT,0
FL,NC,2.079587125
FL,ND,0
FL,NE,0
FL,NH,0
FL,NJ,0
FL,NM,0
FL,NV,0
FL,NY,0
FL,OH,0
FL,OK,0
FL,OR,0
FL,PA,0
FL,RI,0
FL,SC,2.079587125
FL,SD,0
FL,TN,1.605581146
FL,TX,0
FL,UT,0
FL,VA,2.079587125
FL,VT,0
FL,WA,0
FL,WI,0
FL,WV,2.079587125
FL,WY,0
GA,AL,4.132096862
GA,AR,0.900676298
GA,AZ,0
GA,CA,0
GA,CO,0
GA,CT,0
GA,DC,999
GA,DE,999
GA,FL,1.139285955
GA,GA,999
GA,IA,0
GA,ID,0
GA,IL,12.23614342
GA,IN,12.23614342
GA,KS,0
GA,KY,4.132096862
GA,LA,0.900676298
GA,MA,0
GA,MD,999
GA,ME,0
GA,MI,12.23614342
GA,MN,0
GA,MO,0
GA,MS,4.132096862
GA,MT,0
GA,NC,999
GA,ND,0
GA,NE,0
GA,NH,0
GA,NJ,8.866726901
GA,NM,0
GA,NV,0
GA,NY,0.30844229
GA,OH,12.23614342
GA,OK,0.900676298
GA,OR,0
GA,PA,8.866726901
GA,RI,0
GA,SC,999
GA,SD,0
GA,TN,4.132096862
GA,TX,0
GA,UT,0
GA,VA,999
GA,VT,0
GA,WA,0
GA,WI,12.23614342
GA,WV,999
GA,WY,0
IA,AL,1.165935163
IA,AR,2.419161571
IA,AZ,0.502492465
IA,CA,0
IA,CO,0.502492465
IA,CT,0
IA,DC,0.126642681
IA,DE,0.126642681
IA,FL,0
IA,GA,0.126642681
IA,IA,999
IA,ID,0.502492465
IA,IL,4.660427008
IA,IN,4.660427008
IA,KS,999
IA,KY,1.165935163
IA,LA,2.419161571
IA,MA,0
IA,MD,0.126642681
IA,ME,0
IA,MI,4.660427008
IA,MN,999
IA,MO,999
IA,MS,1.165935163
IA,MT,0.502492465
IA,NC,0.126642681
IA,ND,999
IA,NE,999
IA,NH,0
IA,NJ,0.16368111
IA,NM,0.502492465
IA,NV,0.502492465
IA,NY,0
IA,OH,4.660427008
IA,OK,2.419161571
IA,OR,0
IA,PA,0.16368111
IA,RI,0
IA,SC,0.126642681
IA,SD,999
IA,TN,1.165935163
IA,TX,0.711309416
IA,UT,0.502492465
IA,VA,0.126642681
IA,VT,0
IA,WA,0
IA,WI,4.660427008
IA,WV,0.126642681
IA,WY,0.502492465
ID,AL,0
ID,AR,0.347645405
ID,AZ,999
ID,CA,10.43002314
ID,CO,999
ID,CT,0
ID,DC,0
ID,DE,0
ID,FL,0
ID,GA,0
ID,IA,0.522998538
ID,ID,999
ID,IL,0
ID,IN,0
ID,KS,0.522998538
ID,KY,0
ID,LA,0.347645405
ID,MA,0
ID,MD,0
ID,ME,0
ID,MI,0
ID,MN,0.522998538
ID,MO,0.522998538
ID,MS,0
ID,MT,999
ID,NC,0
ID,ND,0.522998538
ID,NE,0.522998538
ID,NH,0
ID,NJ,0
ID,NM,999
ID,NV,999
ID,NY,0
ID,OH,0
ID,OK,0.347645405
ID,OR,1.386360992
ID,PA,0
ID,RI,0
ID,SC,0
ID,SD,0.522998538
ID,TN,0
ID,TX,0.19252865
ID,UT,999
ID,VA,0
ID,VT,0
ID,WA,1.386360992
ID,WI,0
ID,WV,0
ID,WY,999
IL,AL,6.136355683
IL,AR,0.438294508
IL,AZ,0
IL,CA,0
IL,CO,0
IL,CT,0
IL,DC,13.64434185
IL,DE,13.64434185
IL,FL,0
IL,GA,13.64434185
IL,IA,4.791908415
IL,ID,0
IL,IL,999
IL,IN,999
IL,KS,4.791908415
IL,KY,6.136355683
IL,LA,0.438294508
IL,MA,0
IL,MD,13.64434185
IL,ME,0
IL,MI,999
IL,MN,4.791908415
IL,MO,4.791908415
IL,MS,6.136355683
IL,MT,0
IL,NC,13.64434185
IL,ND,4.791908415
IL,NE,4.791908415
IL,NH,0
IL,NJ,7.556140298
IL,NM,0
IL,NV,0
IL,NY,0
IL,OH,999
IL,OK,0.438294508
IL,OR,0
IL,PA,7.556140298
IL,RI,0
IL,SC,13.64434185
IL,SD,4.791908415
IL,TN,6.136355683
IL,TX,0
IL,UT,0
IL,VA,13.64434185
IL,VT,0
IL,WA,0
IL,WI,999
IL,WV,13.64434185
IL,WY,0
IN,AL,6.136355683
IN,AR,0.438294508
IN,AZ,0
IN,CA,0
IN,CO,0
IN,CT,0
IN,DC,13.64434185
IN,DE,13.64434185
IN,FL,0
IN,GA,13.64434185
IN,IA,4.791908415
IN,ID,0
IN,IL,999
IN,IN,999
IN,KS,4.791908415
IN,KY,6.136355683
IN,LA,0.438294508
IN,MA,0
IN,MD,13.64434185
IN,ME,0
IN,MI,999
IN,MN,4.791908415
IN,MO,4.791908415
IN,MS,6.136355683
IN,MT,0
IN,NC,13.64434185
IN,ND,4.791908415
IN,NE,4.791908415
IN,NH,0
IN,NJ,7.556140298
IN,NM,0
IN,NV,0
IN,NY,0
IN,OH,999
IN,OK,0.438294508
IN,OR,0
IN,PA,7.556140298
IN,RI,0
IN,SC,13.64434185
IN,SD,4.791908415
IN,TN,6.136355683
IN,TX,0
IN,UT,0
IN,VA,13.64434185
IN,VT,0
IN,WA,0
IN,WI,999
IN,WV,13.64434185
IN,WY,0
KS,AL,1.165935163
KS,AR,2.419161571
KS,AZ,0.502492465
KS,CA,0
KS,CO,0.502492465
KS,CT,0
KS,DC,0.126642681
KS,DE,0.126642681
KS,FL,0
KS,GA,0.126642681
KS,IA,999
KS,ID,0.502492465
KS,IL,4.660427008
KS,IN,4.660427008
KS,KS,999
KS,KY,1.165935163
KS,LA,2.419161571
KS,MA,0
KS,MD,0.126642681
KS,ME,0
KS,MI,4.660427008
KS,MN,999
KS,MO,999
KS,MS,1.165935163
KS,MT,0.502492465
KS,NC,0.126642681
KS,ND,999
KS,NE,999
KS,NH,0
KS,NJ,0.16368111
KS,NM,0.502492465
KS,NV,0.502492465
KS,NY,0
KS,OH,4.660427008
KS,OK,2.419161571
KS,OR,0
KS,PA,0.16368111
KS,RI,0
KS,SC,0.126642681
KS,SD,999
KS,TN,1.165935163
KS,TX,0.711309416
KS,UT,0.502492465
KS,VA,0.126642681
KS,VT,0
KS,WA,0
KS,WI,4.660427008
KS,WV,0.126642681
KS,WY,0.502492465
KY,AL,999
KY,AR,2.774779071
KY,AZ,0
KY,CA,0
KY,CO,0
KY,CT,0
KY,DC,8.575084878
KY,DE,8.575084878
KY,FL,0.995715583
KY,GA,8.575084878
KY,IA,1.860451239
KY,ID,0
KY,IL,3.923366378
KY,IN,3.923366378
KY,KS,1.860451239
KY,KY,999
KY,LA,2.774779071
KY,MA,0
KY,MD,8.575084878
KY,ME,0
KY,MI,3.923366378
KY,MN,1.860451239
KY,MO,1.860451239
KY,MS,999
KY,MT,0
KY,NC,8.575084878
KY,ND,1.860451239
KY,NE,1.860451239
KY,NH,0
KY,NJ,0.572431386
KY,NM,0
KY,NV,0
KY,NY,0
KY,OH,3.923366378
KY,OK,2.774779071
KY,OR,0
KY,PA,0.572431386
KY,RI,0
KY,SC,8.575084878
KY,SD,1.860451239
KY,TN,999
