"ratio"
4.2
7.84
6.57
11.78
7.1
7.22
8.88
8.65
7.47
6.85
5.13
8.51
5.19
8.2
8.91
5.53
13.87
4.51
7.58
6.88
8.68
10.2
5.47
8.79
6.82
6.09
8.54
13.08
8.34
5.53
14.12
5.53
13.13
9.05
6.68
7.61
9.39
8.94
11.84
8.32
7.58
7.55
11.22
9.7
8.43
11.87
7.78
8.23
11.89
8.48
6.29
9.05
7.33
6.74
4.71
5.81
11.56
6.79
11.92
5.86
13.11
6.2
13.84
9.36
8.96
6.99
5.84
4.91
13.84
7.98
4.6
6.74
6.34
8.77
8.15
9.53
11.64
7.92
10.06
4.54
7.33
4.46
6.96
5.5
6.03
5.55
11.47
8.91
9.25
8.54
6.99
6.01
7.98
8.48
8.06
7.22
10.8
6.88
10.85
9.25
