"ratio"
1.18
2.53
3.41
1.02
1.61
3.54
1.22
1.34
2.25
1.44
1.44
1.47
1.33
1.16
1.5
1.87
1.48
1.44
1.26
1.74
2.08
1.79
1.78
1.76
1.94
1.64
3.02
1.56
1.4
1.67
1.32
1.62
1.43
1.67
3.11
0.99
1.47
2.37
1.22
1.33
1.12
1.19
1.44
1.19
1.17
3
2.22
1.49
1.49
1.56
2.19
1.58
1.71
1.29
2.88
1.69
1.27
1.19
2.1
1.73
1.06
2.54
1.81
2.03
1.15
0.81
1.89
1.12
1.17
3.44
1.79
3.13
2.29
1.55
1.7
1.8
2
1.63
1.39
0.95
1.2
1.85
1.47
2.78
2.82
2.12
1.04
2.19
3.3
1.35
1.46
3.09
1.46
2.57
1.51
1.45
1.14
1.69
3.48
1.67
