"ratio"
0.37
0.66
0.31
1.2
0.98
0.39
0.54
0.84
0.92
0.66
0.8
0.49
0.88
0.6
0.88
0.94
0.79
0.56
0.65
0.9
0.34
0.77
0.41
0.71
0.31
0.9
0.65
0.82
0.68
0.52
0.3
1.05
0.53
0.5
0.56
0.3
0.33
0.32
0.92
0.71
0.67
0.71
0.33
0.46
0.81
0.44
0.78
0.85
0.49
0.72
0.49
0.67
0.65
0.43
0.95
0.66
0.69
0.9
0.46
0.62
0.4
0.74
1.07
0.7
0.47
0.6
0.6
0.7
0.75
0.43
0.28
0.99
0.36
0.62
0.6
0.68
0.85
1.01
0.75
0.62
0.74
0.63
1.01
0.75
0.29
0.8
0.75
0.8
0.87
0.7
0.52
0.57
0.74
0.86
0.9
1
0.68
0.7
0.43
0.27
